Name,Country,Age,Height,Weight,Sex,Date of birth,Place of birth,Sport,Event,Medal_Winner,Gold,Silver,Bronze
Floortje Engels,Netherlands,30,172,70,Female,2/15/1982,Tilburg (NED),Hockey,Women's Hockey,Not Won,,,
Flor Ruiz,Colombia,21,171,67,Female,1/29/1991,PRADERA (COL),Athletics,Women's Javelin Throw,Not Won,,,
Flora Bolonyai,Hungary,21,179,69,Female,4/5/1991,Budapest (HUN),Water Polo,Women's Water Polo,Not Won,,,
Flora Duffy,Bermuda,24,164,58,Female,9/30/1987,Paget (BER),Triathlon,Women's Triathlon,Not Won,,,
Flora Gondos,Hungary,20,158,48,Female,4/11/1992,BECS (HUN),Diving,Women's 3m Springboard,Not Won,,,
Florence Lepron,France,27,182,64,Female,1/16/1985,,Basketball,Women's Basketball,Not Won,,,
Florencia Habif,Argentina,18,161,47,Female,8/22/1993,Buenos Aires (ARG),Hockey,Women's Hockey,Not Won,,,
Florencia Mutio,Argentina,27,171,68,Female,11/20/1984,PARANA,Hockey,Women's Hockey,Not Won,,,
Florent Manaudou,France,21,199,99,Male,11/12/1990,Villeurbanne (FRA),Swimming,Men's 50m Freestyle,Won,1,,
Florent Pietrus,France,31,201,104,Male,1/19/1981,,Basketball,Men's Basketball,Not Won,,,
Florent van Aubel,Belgium,20,178,71,Male,10/25/1991,,Hockey,Men's Hockey,Not Won,,,
Floria Guei,France,22,166,52,Female,5/2/1990,Nantes (FRA),Athletics,Women's 4 x 400m Relay,Not Won,,,
Florian Carvalho,France,23,183,70,Male,3/9/1989,Fontainebleau (FRA),Athletics,Men's 1500m,Not Won,,,
Florian Fuchs,Germany,20,186,72,Male,11/10/1991,,Hockey,Men's Hockey,Not Won,,,
Florian Janistyn,Austria,24,190,80,Male,4/22/1988,Wien (AUT),Swimming,Men's 4x200m Freestyle Relay,Not Won,,,
Florian Mennigen,Germany,30,194,93,Male,4/10/1982,,Rowing,Men's Eight,Won,0.111,,
Florian Raudaschl,Austria,34,187,97,Male,5/23/1978,Bad Ischl (AUT),Sailing,Men's Finn,Not Won,,,
Florian REICHSTAEDTER,Austria,32,180,71,Male,7/3/1980,Wien (AUT),Sailing,Men's 470,Not Won,,,
Florian Schmidt,Germany,26,186,67,Male,3/31/1986,FRANKFURT/ODER (GER),Shooting,"Men's 50m Pistol, Men's 10m Air Pistol",Not Won,,,
Florian Stofer,Switzerland,31,194,93,Male,6/25/1981,,Rowing,Men's Quadruple Sculls,Not Won,,,
Florian Vogel,Switzerland,30,174,66,Male,2/18/1982,Aarau (SUI),Cycling - Mountain Bike,Men's Cross-country,Not Won,,,
Florin Curuea,Romania,30,189,90,Male,12/18/1981,,Rowing,Men's Four,Not Won,,,
Florin Ionut Croitoru,Romania,18,160,56,Male,8/25/1993,Bucuresti,Weightlifting,Men's 56kg,Not Won,,,
Florin Zalomir,Romania,31,184,78,Male,4/21/1981,,Fencing,"Men's Individual Sabre, Men's Team Sabre",Won,,0.33,
Floris Evers,Netherlands,29,189,83,Male,2/26/1983,,Hockey,Men's Hockey,Not Won,,,
Foluke Akinradewo,United States of America,24,191,79,Female,10/5/1987,London (CAN),Volleyball,Women's Volleyball,Not Won,,,
Foo Ee Yeo,Singapore,25,171,64,Male,8/30/1986,Singapore (SIN),Athletics,Men's 100m,Not Won,,,
Fortunato Pacavira,Angola,34,160,68,Male,7/27/1978,Luanda (ANG),Canoe Sprint,"Men's Canoe Single (C1) 1000m, Men's Canoe Double (C2) 1000m",Not Won,,,
Fouad Fajari,Morocco,23,166,55,Male,4/18/1989,Rabat (MAR),Wrestling,Men's 55kg Greco-Roman,Not Won,,,
Fran Leighton,Great Britain,30,182,68,Female,3/30/1982,,Water Polo,Women's Water Polo,Not Won,,,
Francena McCorory,United States of America,23,173,68,Female,10/20/1988,Los Angeles (USA),Athletics,"Women's 400m, Women's 4 x 400m Relay",Not Won,,,
Frances Houghton,Great Britain,31,193,81,Female,9/19/1980,,Rowing,Women's Quadruple Sculls,Not Won,,,
Francesca Clapcich,Italy,24,177,70,Female,1/28/1988,Trieste (ITA),Sailing,Women's Laser Radial,Not Won,,,
Francesca Clayton,Great Britain,22,170,69,Female,1/7/1990,,Water Polo,Women's Water Polo,Not Won,,,
Francesca Dallape',Italy,26,163,57,Female,6/24/1986,Trento (ITA),Diving,"Women's 3m Springboard, Women's Synchronised 3m Springboard",Not Won,,,
Francesca Fox,Great Britain,20,167,,Female,6/13/1992,Trowbridge (GBR),Gymnastics - Rhythmic,Group All-Around,Not Won,,,
Francesca Halsall,Great Britain,22,172,59,Female,4/12/1990,Southport (GBR),Swimming,"Women's 50m Freestyle, Women's 100m Freestyle, Women's 100m Butterfly, Women's 4x100m Freestyle Relay",Not Won,,,
Francesca Jones,Great Britain,21,172,,Female,11/9/1990,KETTERING (GBR),Gymnastics - Rhythmic,Individual All-Around,Not Won,,,
Francesca Painter-Snell,Great Britain,25,175,63,Female,3/28/1987,,Water Polo,Women's Water Polo,Not Won,,,
Francesca Piccinini,Italy,33,184,71,Female,1/10/1979,PIETRASANTA (ITA),Volleyball,Women's Volleyball,Not Won,,,
Francesca Schiavone,Italy,32,166,65,Female,6/23/1980,,Tennis,"Women's Singles, Women's Doubles",Not Won,,,
Francesco Bruno,Italy,34,170,66,Male,6/15/1978,FOGGIA (ITA),Shooting,"Men's 50m Pistol, Men's 10m Air Pistol",Not Won,,,
Francesco D Aniello,Italy,43,170,82,Male,3/21/1969,NETTUNO (ITA),Shooting,Men's Double Trap,Not Won,,,
Francesco Dell'uomo,Italy,25,168,64,Male,1/8/1987,COLLEFERRO (ITA),Diving,Men's 10m Platform,Not Won,,,
Francesco Faraldo,Italy,30,168,66,Male,2/14/1982,AVERSA (ITA),Judo,Men's -66kg,Not Won,,,
Francesco Fossi,Italy,24,199,97,Male,4/15/1988,,Rowing,Men's Quadruple Sculls,Not Won,,,
Franciela Krasucki,Brazil,24,,59,Female,4/26/1988,Valinhos (BRA),Athletics,Women's 4 x 100m Relay,Not Won,,,
Franciele Nascimento,Brazil,24,191,90,Female,10/19/1987,,Basketball,Women's Basketball,Not Won,,,
Francielle Manoel Alberto,Brazil,22,162,61,Female,10/18/1989,,Football,Women's Football,Not Won,,,
Francine Cararo,Brazil,31,172,63,Female,1/1/1981,,Handball,Women's Handball,Not Won,,,
Francine Niyonsaba,Burundi,19,161,56,Female,5/5/1993,NKANDA BWERU (BDI),Athletics,Women's 800m,Not Won,,,
Francine Zouga Edoa,Cameroon,24,155,60,Female,11/9/1987,,Football,Women's Football,Not Won,,,
Francis Hegerty,Australia,29,188,95,Male,9/22/1982,,Rowing,Men's Eight,Not Won,,,
Francisca Crovetto Chadid,Chile,22,160,54,Female,4/27/1990,Santiago (CHI),Shooting,Women's Skeet,Not Won,,,
Francisco Andrade,Portugal,32,172,77,Male,7/6/1980,BRAZIL (BRA),Sailing,Men's 49er,Not Won,,,
Francisco Cortes,Spain,29,181,80,Male,3/29/1983,,Hockey,Men's Hockey,Not Won,,,
Francisco Cubelos Sanchez,Spain,19,169,70,Male,10/8/1992,,Canoe Sprint,Men's Kayak Single (K1) 1000m,Not Won,,,
Francisco Daniel Soler Tanco,Puerto Rico,19,,74,Male,8/23/1992,Santo Domingo (DOM),Wrestling,Men's 74kg Freestyle,Not Won,,,
Francisco Hervas Jodar,Spain,30,167,60,Male,8/16/1981,ESPLUGUES (ESP),Swimming,Men's 10km Marathon,Not Won,,,
Francisco Javier Alves,Spain,31,182,66,Male,9/2/1980,CACERES (ESP),Athletics,Men's 5000m,Not Won,,,
Francisco Jose Ventoso Alberdi,Spain,30,180,81,Male,5/6/1982,Reinosa (ESP),Cycling - Road,Men's Road Race,Not Won,,,
Francisco Roman Alarcon Suarez,Spain,20,176,75,Male,4/21/1992,,Football,Men's Football,Not Won,,,
Francisco Vargas Ramirez,Puerto Rico,18,,,Male,5/4/1994,PUERTO RICO (PUR),Boxing,Men's Light Welter (64kg),Not Won,,,
Franck de Almeida,Brazil,29,173,49,Male,2/6/1983,SETE LAGOAS (BRA),Athletics,Men's Marathon,Not Won,,,
Franck Dumoulin,France,39,171,72,Male,5/13/1973,DENAIN (FRA),Shooting,"Men's 50m Pistol, Men's 10m Air Pistol",Not Won,,,
Franck Engonga,Gabon,19,168,72,Male,7/26/1993,,Football,Men's Football,Not Won,,,
Franck Solforosi,France,27,183,72,Male,9/10/1984,,Rowing,Men's Lightweight Four,Not Won,,,
Francois Affolter,Switzerland,21,186,74,Male,3/13/1991,,Football,Men's Football,Not Won,,,
Francois Coulombe-Fortier,Canada,27,191,,Male,11/15/1984,Quebec (CAN),Taekwondo,Men's +80kg,Not Won,,,
Francois Heersbrandt,Belgium,22,179,74,Male,12/12/1989,Uccle (BEL),Swimming,Men's 100m Butterfly,Not Won,,,
Francois Imbeau-Dulac,Canada,21,175,64,Male,12/9/1990,VANIER (CAN),Diving,Men's 3m Springboard,Not Won,,,
Francoise Bella,Cameroon,29,158,60,Female,3/9/1983,,Football,Women's Football,Not Won,,,
Frank Henze,Germany,35,169,65,Male,4/1/1977,Leipzig (GER),Canoe Slalom,Men's Canoe Double (C2),Not Won,,,
Frank Schleck,Luxembourg,32,186,69,Male,4/15/1980,Luxembourg (LUX),Cycling - Road,"Men's Individual Time Trial, Men's Road Race",Not Won,,,
Frank Staebler,Germany,23,174,66,Male,6/27/1989,BOBLINGEN (GER),Wrestling,Men's 66kg Greco-Roman,Not Won,,,
Frank Thompson,United States of America,24,180,79,Male,3/11/1988,ALLIANCE (USA),Shooting,Men's Skeet,Not Won,,,
Franka Anic,Slovenia,21,181,,Female,2/5/1991,Split (CRO),Taekwondo,Women's -67kg,Not Won,,,
Frankie Owen,Australia,24,157,,Female,3/27/1988,CHESTER (GBR),Synchronised Swimming,Women's Teams,Not Won,,,
Franklin Gomez Matos,Puerto Rico,25,170,66,Male,8/5/1986,PUERTO PLATA (DOM),Wrestling,Men's 60kg Freestyle,Not Won,,,
Frano Vican,Croatia,36,192,94,Male,1/24/1976,,Water Polo,Men's Water Polo,Not Won,,,
Franziska Goltz,Germany,27,168,68,Female,2/19/1985,Schwerin (GER),Sailing,Women's Laser Radial,Not Won,,,
Franziska Weber,Germany,23,177,70,Female,5/24/1989,Potsdam (GER),Canoe Sprint,"Women's Kayak Double (K2) 500m, Women's Kayak Four (K4) 500m",Won,1,0.25,
Freddie Evans,Great Britain,21,180,,Male,2/4/1991,Cardiff (GBR),Boxing,Men's Welter (69kg),Not Won,,,
Frederic Fokejou Tefot,Cameroon,32,187,105,Male,12/3/1979,BAGAM (CMR),Weightlifting,Men's +105kg,Not Won,,,
Frederico Melo,Portugal,25,188,72,Male,7/13/1987,UNITED STATES OF AMERICA (USA),Sailing,Men's Star,Not Won,,,
Fredrik Loof,Sweden,42,190,87,Male,12/13/1969,KRISTINEHAMN (SWE),Sailing,Men's Star,Won,0.5,,
Fredrik Petersen,Sweden,28,188,98,Male,8/27/1983,,Handball,Men's Handball,Not Won,,,
Fredy Hernandez,Colombia,34,170,59,Male,4/25/1978,Bogota (COL),Athletics,Men's 50km Race Walk,Not Won,,,
Freedom Chiya,South Africa,33,186,93,Male,7/11/1979,,Beach Volleyball,Men's Beach Volleyball,Not Won,,,
Freya Murray,Great Britain,28,158,44,Female,9/20/1983,Edinburgh (GBR),Athletics,Women's Marathon,Not Won,,,
Frida Svensson,Sweden,30,172,72,Female,8/18/1981,,Rowing,Women's Single Sculls,Not Won,,,
Friederike Belcher,Germany,30,180,70,Female,3/6/1982,Hamburg (GER),Sailing,Women's 470,Not Won,,,
Frithjof Kleen,Germany,29,189,110,Male,6/25/1983,Berlin (GER),Sailing,Men's Star,Not Won,,,
Fu Erichsen,Denmark,27,183,79,Female,23/04/1985,,Rowing,Women's Single Sculls,Won,,1,
Fumiyuki Beppu,Japan,29,180,65,Male,4/10/1983,YOKOHAMA (JPN),Cycling - Road,"Men's Individual Time Trial, Men's Road Race",Not Won,,,
Gabisile Hlumbane,South Africa,25,166,56,Female,12/20/1986,,Football,Women's Football,Not Won,,,
Gabor Balog,Hungary,21,186,80,Male,9/2/1990,BEKESCSABA (HUN),Swimming,"Men's 200m Backstroke, Men's 4x100m Freestyle Relay",Not Won,,,
Gabor Csaszar,Hungary,28,198,96,Male,6/16/1984,,Handball,Men's Handball,Not Won,,,
Gabor Financsek,Hungary,26,186,81,Male,8/27/1985,Pecs (HUN),Swimming,Men's 4x100m Medley Relay,Not Won,,,
Gabor Hatos,Hungary,28,170,74,Male,10/3/1983,Eger (HUN),Wrestling,Men's 74kg Freestyle,Not Won,,,
Gabor Kasa,Serbia,23,180,72,Male,2/3/1989,SUBOTICA (SRB),Cycling - Road,Men's Road Race,Not Won,,,
Gabriel Arroyo,Argentina,35,194,95,Male,3/3/1977,Buenos Aires (ARG),Volleyball,Men's Volleyball,Not Won,,,
Gabriel Bergen,Canada,30,187,92,Male,7/6/1982,,Rowing,Men's Eight,Won,,0.111,
Gabriel Maestre Perez,Venezuela,25,177,,Male,9/22/1986,Barcelona (VEN),Boxing,Men's Welter (69kg),Not Won,,,
Gabriel Melconian Alvez,Uruguay,25,182,74,Male,7/7/1987,Montevideo (URU),Swimming,Men's 100m Freestyle,Not Won,,,
Gabriel Sincraian,Romania,23,172,84,Male,12/21/1988,CLUJ NAPOCA,Weightlifting,Men's 85kg,Not Won,,,
Gabriela Best,Argentina,27,186,75,Female,12/1/1984,,Rowing,Women's Pair,Not Won,,,
Gabriela Mosqueira Benitez,Paraguay,22,162,60,Female,4/5/1990,,Rowing,Women's Single Sculls,Not Won,,,
Gabriela Nikitina,Latvia,18,179,63,Female,6/2/1994,Riga (LAT),Swimming,Women's 50m Freestyle,Not Won,,,
Gabriela Trana,Costa Rica,32,164,50,Female,3/3/1980,ALAJUELA (CRC),Athletics,Women's Marathon,Not Won,,,
Gabriela Zanotti,Brazil,27,170,60,Female,2/28/1985,,Football,Women's Football,Not Won,,,
Gabriele Detti,Italy,17,184,79,Male,8/29/1994,Livorno (ITA),Swimming,Men's 1500m Freestyle,Not Won,,,
Gabriella Fagundez,Sweden,26,170,60,Female,10/11/1985,LANDSKRONA (SWE),Swimming,Women's 4x100m Freestyle Relay,Not Won,,,
Gabriella Kain,Sweden,31,179,69,Female,3/25/1981,,Handball,Women's Handball,Not Won,,,
Gabriella Szabo,Hungary,25,170,62,Female,14/08/1986,,Canoe Sprint,Women's Kayak Four (K4) 500m,Won,0.25,,
Gabrielle Aboudi Onguene,Cameroon,23,152,58,Female,2/25/1989,,Football,Women's Football,Not Won,,,
Gabrielle Douglas,United States of America,16,150,,Female,12/31/1995,Newport News (USA),Gymnastics - Artistic,"Women's Individual All-Around, Women's Team, Women's Qualification",Won,1.2,,
Gabrielle Tuleu,France,24,165,65,Female,1/14/1988,,Canoe Sprint,Women's Kayak Four (K4) 500m,Not Won,,,
Gabrio Zandona,Italy,35,168,65,Male,6/11/1977,Roma (ITA),Sailing,Men's 470,Not Won,,,
Gaby Diana Ahrens,Namibia,31,170,60,Female,3/15/1981,Windhoek (NAM),Shooting,Women's Trap,Not Won,,,
Gadzhi Umarov,Russian Federation,27,186,,Male,5/6/1985,BUYNAKSK (RUS),Taekwondo,Men's +80kg,Not Won,,,
Gadzhimurad Nurmagomedov,Armenia,25,173,84,Male,5/1/1987,MAKHACHKALA (RUS),Wrestling,Men's 84kg Freestyle,Not Won,,,
Gael da Silva,France,27,167,,Male,12/30/1984,VAULX EN VELIN (FRA),Gymnastics - Artistic,"Men's Team, Men's Qualification",Not Won,,,
Gael Prevost,France,18,193,75,Male,3/8/1994,CLERMONT,Archery,"Men's Individual, Men's Team",Not Won,,,
Gaelle Enganamouit,Cameroon,20,171,75,Female,6/9/1992,,Football,Women's Football,Not Won,,,
Gaelle Mys,Belgium,20,156,,Female,11/16/1991,Gent (BEL),Gymnastics - Artistic,Women's Qualification,Not Won,,,
Gaelle Valcke,Belgium,26,172,64,Female,2/20/1986,Uccle (BLR),Hockey,Women's Hockey,Not Won,,,
Gaetane Thiney,France,26,169,59,Female,10/28/1985,,Football,Women's Football,Not Won,,,
Gaeul Kim,Republic of Korea,15,160,52,Female,1/17/1997,POHANG (KOR),Swimming,Women's 400m Freestyle,Not Won,,,
Gagan Narang,India,29,,,Male,5/6/1983,MADRAS (IND),Shooting,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions",Won,,,1
Gal Nevo,Israel,25,178,78,Male,6/29/1987,KIBUTZ HAMADIA (ISR),Swimming,"Men's 200m Butterfly, Men's 200m Individual Medley, Men's 400m Individual Medley",Not Won,,,
Galen Rupp,United States of America,26,180,61,Male,5/8/1986,Portland (USA),Athletics,"Men's 5000m, Men's 10,000m",Won,,1,
Galia Dvorak,Spain,24,169,58,Female,4/1/1988,Kiev (UKR),Table Tennis,Women's Team,Not Won,,,
Galina Voskoboeva,Kazakhstan,27,184,70,Female,12/18/1984,,Tennis,"Women's Singles, Women's Doubles",Not Won,,,
Gamze Bulut,Turkey,20,,,Female,8/3/1992,ESKISEHIR (TUR),Athletics,Women's 1500m,Not Won,,,
Gani Zhailauov,Kazakhstan,27,172,,Male,8/3/1985,,Boxing,Men's Light (60kg),Not Won,,,
Ganna Dzerkal,Ukraine,24,171,62,Female,8/18/1987,YUZHNOUKRAINSK (UKR),Swimming,"Women's 200m Breaststroke, Women's 200m Individual Medley, Women's 400m Individual Medley, Women's 4x200m Freestyle Relay",Not Won,,,
Ganna Rizatdinova,Ukraine,19,170,,Female,7/16/1993,Simferopol (UKR),Gymnastics - Rhythmic,Individual All-Around,Not Won,,,
Ganzi Mugula,Uganda,33,178,65,Male,7/24/1979,NAMIREMBE (UGA),Swimming,Men's 50m Freestyle,Not Won,,,
Gareth Evans,Great Britain,26,169,68,Male,4/18/1986,Dundee,Weightlifting,Men's 69kg,Not Won,,,
Gareth Kean,New Zealand,20,194,83,Male,10/5/1991,Wellington (NZL),Swimming,"Men's 100m Backstroke, Men's 200m Backstroke, Men's 4x100m Medley Relay",Not Won,,,
Gareth Warburton,Great Britain,29,186,72,Male,4/23/1983,BEVERLEY (GBR),Athletics,Men's 800m,Not Won,,,
Garfield Darien,France,24,190,80,Male,12/22/1987,Lyon (FRA),Athletics,Men's 110m Hurdles,Not Won,,,
Garima Chaudhary,India,22,,62,Female,4/2/1990,MEERUT,Judo,Women's -63kg,Not Won,,,
Gaston Ramirez,Uruguay,21,183,78,Male,12/2/1990,,Football,Men's Football,Not Won,,,
Gauthier Boccard,Belgium,20,186,79,Male,8/26/1991,,Hockey,Men's Hockey,Not Won,,,
Gauthier Grumier,France,28,188,82,Male,5/29/1984,,Fencing,Men's Individual Epee,Not Won,,,
Gauthier Klauss,France,24,171,65,Male,12/17/1987,EPINAL (FRA),Canoe Slalom,Men's Canoe Double (C2),Not Won,,,
Gavin Noble,Ireland,31,186,75,Male,4/9/1981,ENNISKILLEN (IRL),Triathlon,Men's Triathlon,Not Won,,,
Gavin Smellie,Canada,26,180,80,Male,6/26/1986,PAPINE (JAM),Athletics,Men's 4 x 100m Relay,Not Won,,,
Gavin Woods,Australia,34,199,103,Male,3/1/1978,,Water Polo,Men's Water Polo,Not Won,,,
Gawain Vincent,Great Britain,22,186,83,Male,3/9/1990,,Handball,Men's Handball,Not Won,,,
Gaybatulla Gadzhialiyev,Azerbaijan,21,170,,Male,6/30/1991,DAGESTAN (RUS),Boxing,Men's Light Welter (64kg),Not Won,,,
Gebregziabher Gebremariam,Ethiopia,27,183,60,Male,10/12/1984,Tigray (ETH),Athletics,"Men's 10,000m",Not Won,,,
Gedeon Guardiola Villaplana,Spain,27,199,105,Male,10/1/1984,,Handball,Men's Handball,Not Won,,,
Gediminas Bagdonas,Lithuania,26,185,76,Male,12/26/1985,RADVILISKIS (LTU),Cycling - Road,Men's Road Race,Not Won,,,
Geeeun Kang,Republic of Korea,21,163,55,Female,10/15/1990,Seoul (KOR),Shooting,Women's Trap,Not Won,,,
Geena Gall,United States of America,25,168,61,Female,1/18/1987,Flint (USA),Athletics,Women's 800m,Not Won,,,
Geeta Geeta,India,23,,,Female,12/15/1988,BALALI (IND),Wrestling,Women's 55kg Freestyle,Not Won,,,
Geir Suursild,Estonia,17,187,87,Male,10/13/1994,,Rowing,Men's Double Sculls,Not Won,,,
Geisa Aparecida Coutinho,Brazil,32,,53,Female,6/1/1980,Rio De Janeiro (BRA),Athletics,"Women's 400m, Women's 4 x 400m Relay",Not Won,,,
Geisa Arcanjo,Brazil,20,,,Female,9/19/1991,SAO ROQUE (BRA),Athletics,Women's Shot Put,Not Won,,,
Gelete Burka,Ethiopia,26,160,43,Female,1/23/1986,Arsi (ETH),Athletics,Women's 5000m,Not Won,,,
Gelly Skarlatou,Greece,36,165,58,Female,1/28/1976,AMALIADA (GRE),Sailing,Women's RS-X,Not Won,,,
Gemma Beadsworth,Australia,25,180,79,Female,7/17/1987,Perth (AUS),Water Polo,Women's Water Polo,Won,,,0.076
Gemma Flynn,New Zealand,22,168,60,Female,5/2/1990,Tauranga (NZL),Hockey,Women's Hockey,Not Won,,,
Gemma Gibbons,Great Britain,25,173,77,Female,1/6/1987,Greenwich,Judo,Women's -78kg,Won,,1,
Gemma Howell,Great Britain,22,165,59,Female,6/13/1990,Stafford (GBR),Judo,Women's -63kg,Not Won,,,
Gemma Spofforth,Great Britain,24,183,85,Female,11/17/1987,SHOREHAM BY SEA (GBR),Swimming,"Women's 100m Backstroke, Women's 4x100m Medley Relay",Not Won,,,
Genet Yalew,Ethiopia,19,158,46,Female,12/31/1992,ASKUNA (ETH),Athletics,Women's 5000m,Not Won,,,
Genevieve Lacaze,Australia,22,164,53,Female,8/4/1989,BENOWA (AUS),Athletics,Women's 3000m Steeplechase,Not Won,,,
Genevra Stone,United States of America,27,183,71,Female,7/11/1985,,Rowing,Women's Single Sculls,Not Won,,,
Genzeb Shumi,Bahrain,21,166,45,Female,1/29/1991,ETHIOPIA (ETH),Athletics,"Women's 800m, Women's 1500m",Not Won,,,
Genzebe Dibaba,Ethiopia,21,168,52,Female,2/8/1991,Bokoji (ETH),Athletics,Women's 1500m,Not Won,,,
Geoff Kabush,Canada,35,188,75,Male,4/14/1977,COMOX (CAN),Cycling - Mountain Bike,Men's Cross-country,Not Won,,,
Geoffrey Harris,Canada,25,170,64,Male,1/30/1987,Halifax (CAN),Athletics,Men's 800m,Not Won,,,
Geofrey Kusuro,Uganda,23,172,57,Male,2/12/1989,Mutishet (UGA),Athletics,Men's 5000m,Not Won,,,
Georganne Moline,United States of America,22,178,59,Female,3/6/1990,Missoula (USA),Athletics,Women's 400m Hurdles,Not Won,,,
George Gogshelidze,Georgia,32,185,96,Male,11/7/1979,GORI (GEO),Wrestling,Men's 96kg Freestyle,Not Won,,,
George Kitchens,United States of America,29,178,73,Male,1/30/1983,Augusta (USA),Athletics,Men's Long Jump,Not Won,,,
George Nash,Great Britain,22,195,97,Male,10/2/1989,,Rowing,Men's Pair,Won,,,0.5
George Palamariu,Romania,21,197,108,Male,3/17/1991,,Rowing,Men's Four,Not Won,,,
George Richard Bovell,Trinidad and Tobago,29,196,86,Male,7/18/1983,Port of Spain (TRI),Swimming,"Men's 50m Freestyle, Men's 100m Freestyle, Men's 100m Backstroke",Not Won,,,
Georgeta Andrunache,Romania,36,178,75,Female,4/14/1976,,Rowing,Women's Pair,Not Won,,,
Georgi Bratoev,Bulgaria,24,202,88,Male,10/21/1987,Sofia (BUL),Volleyball,Men's Volleyball,Not Won,,,
Georgi Ivanov,Bulgaria,27,187,130,Male,3/13/1985,Sliven (BUL),Athletics,Men's Shot Put,Not Won,,,
Georgia Bonora,Australia,22,161,,Female,5/19/1990,FITZROY (AUS),Gymnastics - Artistic,"Women's Team, Women's Qualification",Not Won,,,
Georgia Davies,Great Britain,21,175,60,Female,10/11/1990,London (GBR),Swimming,"Women's 100m Backstroke, Women's 4x100m Medley Relay",Not Won,,,
Georgia Gould,United States of America,32,175,61,Female,1/5/1980,Baltimore (USA),Cycling - Mountain Bike,Women's Cross-country,Not Won,,,
Georgia Nanscawen,Australia,20,159,58,Female,5/27/1992,Brunswick (AUS),Hockey,Women's Hockey,Not Won,,,
Georgie Twigg,Great Britain,21,170,65,Female,11/21/1990,Lincoln (GBR),Hockey,Women's Hockey,Not Won,,,
Georgii Zantaraia,Ukraine,24,170,60,Male,10/21/1987,GEORGIA (GEO),Judo,Men's -60kg,Not Won,,,
Georgina Bardach,Argentina,28,170,63,Female,8/18/1983,Cordoba (ARG),Swimming,Women's 400m Individual Medley,Not Won,,,
Georgina Cassar,Great Britain,18,170,,Female,9/9/1993,WELWYN GARDEN CITY,Gymnastics - Rhythmic,Group All-Around,Not Won,,,
Georgina Geikie,Great Britain,27,171,56,Female,12/6/1984,OKEHAMPTON (GBR),Shooting,"Women's 10m Air Pistol, Women's 25m Pistol",Not Won,,,
Georgina Pota,Hungary,27,170,60,Female,1/13/1985,Budapest (HUN),Table Tennis,Women's Singles,Not Won,,,
Georgios Achilleos,Cyprus,31,172,80,Male,12/24/1980,London (GBR),Shooting,Men's Skeet,Not Won,,,
Georgios Afroudakis,Greece,35,194,103,Male,10/17/1976,Athína (GRE),Water Polo,Men's Water Polo,Not Won,,,
Georgios Tziallas,Greece,25,190,90,Male,7/14/1987,,Rowing,Men's Four,Not Won,,,
Ger Owens,Ireland,33,175,61,Male,7/13/1979,Dublin (IRL),Sailing,Men's 470,Not Won,,,
Geraint Thomas,Great Britain,26,183,71,Male,5/25/1986,Cardiff (GBR),"Cycling - Road, Cycling - Track",Men's Team Pursuit,Won,0.25,,
Gerald Phiri,Zambia,23,178,80,Male,10/6/1988,Mufulira (ZAM),Athletics,Men's 100m,Not Won,,,
Geraldine Lee,Singapore,25,154,62,Female,6/19/1987,,Canoe Sprint,"Women's Kayak Single (K1) 200m, Women's Kayak Single (K1) 500m",Not Won,,,
Gerard Kobeane,Burkina Faso,24,179,74,Male,4/24/1988,KARANKASO VIGUE (BUR),Athletics,Men's 100m,Not Won,,,
Gerco Schroder,Netherlands,34,165,71,Male,7/28/1978,TUBBERGEN (NED),Equestrian,"Individual Jumping, Team Jumping, LONDON",Won,,1.25,
Gerd Kanter,Estonia,33,196,127,Male,5/6/1979,Tallinn (EST),Athletics,Men's Discus Throw,Won,,,1
Gerek Meinhardt,United States of America,22,183,77,Male,27/07/1990 (USA),,Fencing,Men's Team Foil,Not Won,,,
Gergely Gyurta,Hungary,20,174,68,Male,9/12/1991,Budapest (HUN),Swimming,Men's 1500m Freestyle,Not Won,,,
Gergely Harsanyi,Hungary,31,191,95,Male,5/3/1981,,Handball,Men's Handball,Not Won,,,
Gergely Kiss,Hungary,34,198,112,Male,9/21/1977,,Water Polo,Men's Water Polo,Not Won,,,
Gergo Ivancsik,Hungary,30,190,88,Male,11/30/1981,,Handball,Men's Handball,Not Won,,,
Gergo Kis,Hungary,24,182,78,Male,1/19/1988,TAPOLCA (HUN),Swimming,"Men's 400m Freestyle, Men's 1500m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay",Not Won,,,
Gerhard Kerschbaumer,Italy,21,184,69,Male,7/19/1991,Bressanone (ITA),Cycling - Mountain Bike,Men's Cross-country,Not Won,,,
Gerhard Mayer,Austria,32,191,109,Male,5/20/1980,Wien (AUT),Athletics,Men's Discus Throw,Not Won,,,
Germain Chardin,France,29,192,92,Male,5/15/1983,,Rowing,Men's Pair,Won,,0.5,
German Lauro,Argentina,28,186,127,Male,4/2/1984,Trenque Lauquen (ARG),Athletics,"Men's Shot Put, Men's Discus Throw",Not Won,,,
German Rolin,Uruguay,23,186,75,Male,2/7/1989,,Football,Men's Football,Not Won,,,
